Test Function,Model,Number of Samples,Coefficient of Determination,MAPE
2,BasicGPRegression,80,0.44832777976989746,423031080000.0
2,BasicGPRegression,85,0.3706071376800537,833488550000.0
2,BasicGPRegression,90,0.37686312198638916,776604160000.0
2,BasicGPRegression,95,0.3762959837913513,772781800000.0
2,BasicGPRegression,100,0.3819042444229126,772039800000.0
2,BasicGPRegression,105,0.3675399422645569,792264400000.0
2,BasicGPRegression,110,0.3795570731163025,757079600000.0
2,BasicGPRegression,115,0.38794195652008057,705561900000.0
2,BasicGPRegression,120,0.3766239881515503,724528300000.0
2,BasicGPRegression,125,0.3991273045539856,646466600000.0
2,BasicGPRegression,130,0.39101642370224,702437600000.0
2,BasicGPRegression,135,0.3869771957397461,684407000000.0
2,BasicGPRegression,140,0.629407525062561,193882720000.0
2,BasicGPRegression,145,0.38911718130111694,684003500000.0
2,BasicGPRegression,150,0.3967157006263733,627976400000.0
2,BasicGPRegression,155,0.40964555740356445,602335500000.0
2,BasicGPRegression,160,0.3964560031890869,636491500000.0
2,BasicGPRegression,165,0.39815813302993774,613465000000.0
2,BasicGPRegression,170,0.3993048071861267,614270800000.0
2,BasicGPRegression,175,0.4021056294441223,589907760000.0
2,BasicGPRegression,180,0.4022170901298523,584083240000.0
2,BasicGPRegression,185,0.39463376998901367,600940150000.0
2,BasicGPRegression,190,0.4045676589012146,565175300000.0
2,BasicGPRegression,195,0.39887213706970215,582600600000.0
3,BasicGPRegression,5,0.29560548067092896,86246650000000.0
3,BasicGPRegression,10,0.27643316984176636,85714860000000.0
3,BasicGPRegression,15,0.33774298429489136,84939720000000.0
3,BasicGPRegression,20,0.3008526563644409,87117550000000.0
3,BasicGPRegression,25,0.3042762279510498,87344760000000.0
3,BasicGPRegression,30,0.31465810537338257,87117000000000.0
3,BasicGPRegression,35,0.3769928812980652,85516760000000.0
3,BasicGPRegression,40,0.3121469020843506,87416065000000.0
3,BasicGPRegression,45,0.30668503046035767,87278735000000.0
3,BasicGPRegression,50,0.4002963900566101,85360720000000.0
3,BasicGPRegression,55,0.4756491184234619,83712850000000.0
3,BasicGPRegression,60,0.45315009355545044,84013050000000.0
3,BasicGPRegression,65,0.44659340381622314,84403100000000.0
3,BasicGPRegression,70,0.705450713634491,71827615000000.0
3,BasicGPRegression,75,0.659148097038269,74102670000000.0
3,BasicGPRegression,80,0.5139929056167603,81648270000000.0
3,BasicGPRegression,85,0.49804627895355225,82403870000000.0
3,BasicGPRegression,90,0.644660234451294,74460310000000.0
3,BasicGPRegression,95,0.49904006719589233,82299470000000.0
3,BasicGPRegression,100,0.6847134828567505,72616556000000.0
3,BasicGPRegression,105,0.6018458008766174,69352083000000.0
3,BasicGPRegression,110,0.6370718479156494,74726380000000.0
3,BasicGPRegression,115,0.5290412306785583,80697990000000.0
3,BasicGPRegression,120,0.5642024278640747,75459320000000.0
3,BasicGPRegression,125,0.6293526887893677,74870580000000.0
3,BasicGPRegression,130,0.6526930332183838,74611380000000.0
3,BasicGPRegression,135,0.554990291595459,77832190000000.0
3,BasicGPRegression,140,0.6704627275466919,73771935000000.0
3,BasicGPRegression,145,0.6409475803375244,74926830000000.0
3,BasicGPRegression,150,0.642376184463501,75044040000000.0
3,BasicGPRegression,155,0.5892353057861328,68380208000000.0
3,BasicGPRegression,160,0.677911102771759,73442515000000.0
3,BasicGPRegression,165,0.6443461775779724,74635340000000.0
3,BasicGPRegression,170,0.8388698101043701,60800203000000.0
3,BasicGPRegression,175,0.6616818904876709,74328390000000.0
3,BasicGPRegression,180,0.7584829330444336,67097154000000.0
3,BasicGPRegression,185,0.6437621116638184,74502270000000.0
3,BasicGPRegression,190,0.5290497541427612,80768630000000.0
